PHerc0139	9.362	PHerc0139/segments/20250108000000-w025_2025010863/mesh/20250108000000-on-20250728140407-9.362um.tifxyz	PHerc0139/volumes/20250728140407-9.362um-1.2m-113keV-masked.zarr
PHerc0139	2.403	PHerc0139/segments/20250108000000-w025_2025010863/mesh/20250108000000-on-20250820105138-2.403um.tifxyz	PHerc0139/volumes/20250820105138-2.403um-0.2m-77keV-masked.zarr
PHerc0139	2.399	PHerc0139/segments/20250108000000-w025_2025010863/mesh/20250108000000-on-20260102150214-2.399um.tifxyz	PHerc0139/volumes/20260102150214-2.399um-0.2m-78keV-masked.zarr
PHerc0139	2.403	PHerc0139/segments/20250108000000-w025_2025010863/mesh/20250108000000-on-20260319133554-2.403um.tifxyz	PHerc0139/volumes/20260319133554-2.403um-0.2m-77keV-masked.zarr
PHerc0139	1.129	PHerc0139/segments/20250108000000-w025_2025010863/mesh/20250108000000-on-20260413113053-1.129um.tifxyz	PHerc0139/volumes/20260413113053-1.129um-0.2m-59keV-masked.zarr
PHerc0139	9.362	PHerc0139/segments/20250108000001-w026_2025010854/mesh/20250108000001-on-20250728140407-9.362um.tifxyz	PHerc0139/volumes/20250728140407-9.362um-1.2m-113keV-masked.zarr
PHerc0139	2.403	PHerc0139/segments/20250108000001-w026_2025010854/mesh/20250108000001-on-20250820105138-2.403um.tifxyz	PHerc0139/volumes/20250820105138-2.403um-0.2m-77keV-masked.zarr
PHerc0139	2.399	PHerc0139/segments/20250108000001-w026_2025010854/mesh/20250108000001-on-20260102150214-2.399um.tifxyz	PHerc0139/volumes/20260102150214-2.399um-0.2m-78keV-masked.zarr
PHerc0139	2.403	PHerc0139/segments/20250108000001-w026_2025010854/mesh/20250108000001-on-20260319133554-2.403um.tifxyz	PHerc0139/volumes/20260319133554-2.403um-0.2m-77keV-masked.zarr
PHerc0139	1.129	PHerc0139/segments/20250108000001-w026_2025010854/mesh/20250108000001-on-20260413113053-1.129um.tifxyz	PHerc0139/volumes/20260413113053-1.129um-0.2m-59keV-masked.zarr
